City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,carutapera,-1.195,-46.02,26.08,83,97,3.14,BR,1702343141
83,mangrol,21.1167,70.1167,19.97,41,100,3.78,IN,1702343141
84,polyarnyy,69.1989,33.4478,-14.74,95,29,5.17,RU,1702343142
85,atafu village,-8.5421,-172.5159,28.77,80,100,10.57,TK,1702343142
86,simplicio mendes,-7.8539,-41.9103,24.84,64,77,1.12,BR,1702342997
87,labytnangi,66.6572,66.4183,-24.94,97,100,3.9,RU,1702343142
88,cabo san lucas,22.8909,-109.9124,24.86,70,0,2.06,MX,1702343143
89,canutama,-6.5339,-64.3831,24.17,97,100,1.29,BR,1702343143
90,hermanus,-34.4187,19.2345,16.42,78,100,4.38,ZA,1702343143
91,tual,-5.6667,132.75,28.41,78,78,4.64,ID,1702343143
92,kuching,1.55,110.3333,28.92,90,20,1.03,MY,1702343012
93,iqaluit,63.7506,-68.5145,-27.55,96,69,1.85,CA,1702342888
94,ormara,25.2088,64.6357,23.26,27,97,4.29,PK,1702342875
95,ust-nera,64.5667,143.2,-20.31,98,100,3.74,RU,1702343036
96,port alfred,-33.5906,26.891,17.32,96,0,2.24,ZA,1702343145
97,celestun,20.8667,-90.4,22.6,62,100,6.33,MX,1702343145
98,ulladulla,-35.35,150.4667,25.48,66,44,3.53,AU,1702343145
99,shohimardon,39.9839,71.8028,-4.57,91,100,0.38,UZ,1702343146
100,nguti,5.3299,9.4185,22.91,72,67,0.56,CM,1702343146
101,hasparren,43.3838,-1.305,14.9,67,0,1.54,FR,1702343146
102,constantia,44.1833,28.65,0.39,83,66,3.98,RO,1702343146
103,hasaki,35.7333,140.8333,12.38,93,100,8.78,JP,1702343147
104,siwa oasis,29.2041,25.5195,13.56,80,23,2.87,EG,1702343147
105,arkalyk,50.2486,66.9114,-26.2,86,7,6.81,KZ,1702343147
106,new norfolk,-42.7826,147.0587,20.72,24,45,0.83,AU,1702343148
107,rabo de peixe,37.8,-25.5833,12.73,82,20,3.09,PT,1702343148
108,ebon,4.582,168.6964,27.36,84,93,9.26,MH,1702343148
109,invercargill,-46.4,168.35,11.32,56,58,8.94,NZ,1702343149
110,isfana,39.8386,69.5306,-11.69,83,100,2.39,KG,1702343149
111,abaza,52.655,90.0928,-29.05,100,57,0.75,RU,1702343149
112,miagao,10.6442,122.2352,28.66,74,19,7.09,PH,1702343149
113,castlegar,49.2998,-117.6689,1.66,95,44,1.02,CA,1702342977
114,lake havasu city,34.4839,-114.3224,17.0,21,0,2.57,US,1702343150
